Id,Category
1,24
2,20
3,3
4,8
5,9
6,18
7,22
8,24
9,10
10,25
11,4
12,38
13,36
14,18
15,38
16,33
17,9
18,24
19,21
20,1
21,36
22,1
23,12
24,38
25,22
26,33
27,34
28,7
29,17
30,23
31,24
32,35
33,21
34,18
35,21
36,38
37,5
38,38
39,6
40,16
41,36
42,39
43,5
44,33
45,15
46,36
47,13
48,32
49,27
50,13
51,35
52,29
53,2
54,10
55,21
56,3
57,4
58,20
59,8
60,10
61,25
62,2
63,8
64,38
65,28
66,8
67,5
68,23
69,18
70,8
71,26
72,9
73,33
74,36
75,31
76,21
77,10
78,4
79,2
80,39
81,17
82,16
83,31
84,37
85,24
86,1
87,37
88,31
89,4
90,29
91,10
92,32
93,10
94,18
95,13
96,20
97,16
98,4
99,21
100,20
101,17
102,6
103,17
104,17
105,2
106,39
107,21
108,10
109,38
110,34
111,31
112,19
113,37
114,34
115,37
116,15
117,23
118,24
119,11
120,24
121,17
122,11
123,23
124,19
125,25
126,5
127,22
128,35
129,1
130,8
131,37
132,3
133,2
134,24
135,5
136,36
137,18
138,17
139,11
140,1
141,2
142,30
143,19
144,6
145,2
146,15
147,29
148,20
149,3
150,7
151,26
152,1
153,12
154,28
155,38
156,33
157,37
158,2
159,29
160,1
161,20
162,12
163,39
164,21
165,34
166,23
167,19
168,2
169,20
170,15
171,29
172,37
173,9
174,11
175,13
176,30
177,29
178,27
179,3
180,25
181,36
182,1
183,2
184,3
185,3
186,31
187,32
188,23
189,16
190,29
191,15
192,21
193,23
194,30
195,30
196,8
197,2
198,32
199,31
200,7
201,37
202,38
203,15
204,28
205,18
206,5
207,22
208,5
209,16
210,2
211,12
212,33
213,39
214,1
215,6
216,28
217,36
218,35
219,29
220,17
221,39
222,3
223,20
224,25
225,20
226,32
227,3
228,23
229,5
230,12
231,7
232,8
233,7
234,23
235,28
236,7
237,10
238,28
239,11
240,39
241,27
242,2
243,36
244,5
245,38
246,3
247,29
248,11
249,17
250,15
251,9
252,34
253,32
254,9
255,32
256,21
257,29
258,18
259,21
260,37
261,20
262,9
263,35
264,4
265,8
266,9
267,15
268,26
269,19
270,15
271,7
272,37
273,30
274,33
275,36
276,33
277,13
278,20
279,12
280,36
281,23
282,39
283,23
284,28
285,1
286,4
287,16
288,4
289,6
290,11
291,21
292,16
293,28
294,21
295,10
296,21
297,33
298,8
299,26
300,28
301,5
302,16
303,36
304,12
305,35
306,13
307,1
308,33
309,22
310,17
311,15
312,12
313,8
314,29
315,21
316,7
317,20
318,35
319,19
320,17
321,8
322,8
323,13
324,24
325,15
326,3
327,5
328,9
329,7
330,19
331,33
332,24
333,31
334,18
335,11
336,1
337,23
338,29
339,35
340,4
341,32
342,32
343,27
344,23
345,5
346,18
347,10
348,13
349,36
350,33
351,16
352,16
353,37
354,23
355,11
356,9
357,27
358,23
359,36
360,11
361,38
362,36
363,27
364,27
365,6
366,2
367,8
368,35
369,13
370,19
371,8
372,37
373,4
374,33
375,12
376,8
377,2
378,33
379,30
380,35
381,33
382,34
383,25
384,11
385,9
386,4
387,21
388,18
389,33
390,4
391,15
392,6
393,22
394,26
395,5
396,18
397,32
398,5
399,6
400,18
401,9
402,1
403,26
404,34
405,39
406,12
407,34
408,18
409,1
410,37
411,35
412,31
413,36
414,39
415,35
416,13
417,12
418,7
419,8
